case_id	item_id	legacy_item_id	player	year	brand	set_name	card_number	parallel	serial_denominator	team	sport	is_rookie	is_auto	is_relic	title
ud-s1-lane-hutson-young-guns-229	v1|366586339063|0	366586339063	Lane Hutson	2024-25	Upper Deck	Base Set - Young Guns	229	Base		Montreal Canadiens	Hockey	true	false	false	2024-25 Upper Deck Series 1 - Young Guns Lane Hutson #229
ud-s1-logan-stankoven-young-guns-244	v1|307021332904|0	307021332904	Logan Stankoven	2024-25	Upper Deck	Base Set - Young Guns	244	Base		Dallas Stars	Hockey	true	false	false	2024-25 Upper Deck Series 1 - Young Guns Logan Stankoven #244 (RC)
ud-s1-frank-nazar-young-guns-227	v1|397996424261|0	397996424261	Frank Nazar	2024-25	Upper Deck	Base Set - Young Guns	227	Base		Chicago Blackhawks	Hockey	true	false	false	2024-25 Upper Deck Series 1 - Young Guns Frank Nazar #227 (RC)
ud-s1-brad-lambert-young-guns-228	v1|366443071927|0	366443071927	Brad Lambert	2024-25	Upper Deck	Base Set - Young Guns	228	Base		Winnipeg Jets	Hockey	true	false	false	2024-25 Upper Deck Series 1 Young Guns #228 Brad Lambert Rookie Card
ud-s1-matt-rempe-canvas-young-guns-c113	v1|197318280171|0	197318280171	Matt Rempe	2024-25	Upper Deck	UD Canvas - Young Guns	C-113	Canvas Young Guns		New York Rangers	Hockey	true	false	false	2024-25 Upper Deck Series 1 Hockey Young Guns Canvas Matt Rempe C-113
ud-s1-lane-hutson-canvas-young-guns-c111	v1|257618710573|0	257618710573	Lane Hutson	2024-25	Upper Deck	UD Canvas - Young Guns	C-111	Canvas Young Guns		Montreal Canadiens	Hockey	true	false	false	2024-25 Upper Deck Series 1 - UD Canvas Young Guns Lane Hutson #C-111 (RC)
ud-s1-lane-hutson-outburst-silver-young-guns-229	v1|128006567675|0	128006567675	Lane Hutson	2024-25	Upper Deck	Outburst Silver Parallel - Young Guns	229	Outburst Silver		Montreal Canadiens	Hockey	true	false	false	LANE HUTSON 2024-25 UPPER DECK SERIES 1 YOUNG GUNS OUTBURST SILVER RC #229
ud-s1-connor-mcdavid-city-satellites-cs3	v1|257502325157|0	257502325157	Connor McDavid	2024-25	Upper Deck	City Satellites	CS-3	Base		Edmonton Oilers	Hockey	false	false	false	2024-25 Upper Deck Series 1 - City Satellites #CS-3 Connor McDavid
ud-s1-sidney-crosby-city-satellites-cs1	v1|366581852371|0	366581852371	Sidney Crosby	2024-25	Upper Deck	City Satellites	CS-1	Base		Pittsburgh Penguins	Hockey	false	false	false	2024-25 Upper Deck Series 1 - City Satellites Sidney Crosby #CS-1
ud-s1-connor-bedard-city-satellites-cs11	v1|157212630919|0	157212630919	Connor Bedard	2024-25	Upper Deck	City Satellites	CS-11	Base		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 Connor Bedard City Satellites #CS-11
ud-s1-connor-bedard-city-satellites-speckle-cs11	v1|376839590035|0	376839590035	Connor Bedard	2024-25	Upper Deck	City Satellites Speckle Parallel	CS-11	Speckle		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 - City Satellites Connor Bedard #CS-11 Speckle
ud-s1-connor-bedard-city-satellites-black-cs11	v1|227345659136|0	227345659136	Connor Bedard	2024-25	Upper Deck	City Satellites Black Parallel	CS-11	Black		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 City Satellites Connor Bedard CS-11 Black
ud-s1-connor-bedard-dazzlers-blue-dz13	v1|178367475402|0	178367475402	Connor Bedard	2024-25	Upper Deck	Dazzlers Blue	DZ-13	Blue		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 Connor Bedard Dazzlers Blue #DZ-13
ud-s1-connor-bedard-gaming-xp-gxp1	v1|306902603559|0	306902603559	Connor Bedard	2024-25	Upper Deck	Gaming XP	GXP-1	Base		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 Gaming XP #GXP-1 Connor Bedard
ud-s1-connor-mcdavid-gaming-xp-gxp25	v1|396174760208|0	396174760208	Connor McDavid	2024-25	Upper Deck	Gaming XP	GXP-25	Base		Edmonton Oilers	Hockey	false	false	false	2024-25 Upper Deck Series 1 Gaming XP #GXP-25 Connor McDavid
ud-s1-connor-bedard-gaming-xp-speckle-gxp1	v1|316097476937|0	316097476937	Connor Bedard	2024-25	Upper Deck	Gaming XP Speckle Parallel	GXP-1	Speckle		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 - Gaming XP #GXP-1 Speckle Connor Bedard
ud-s1-alex-ovechkin-checkpoint-cp11	v1|168528579541|0	168528579541	Alex Ovechkin	2024-25	Upper Deck	Checkpoint	CP-11	Base		Washington Capitals	Hockey	false	false	false	2024-25 Upper Deck Series 1 - Checkpoint Alex Ovechkin #CP-11
ud-s1-connor-bedard-opc-glossy-gold-og7	v1|226455561380|0	226455561380	Connor Bedard	2024-25	Upper Deck	O-Pee-Chee Glossy Gold Parallel	OG-7	Gold		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 CONNOR BEDARD O-Pee-Chee Glossy Gold Parallel #OG-7
ud-s1-alex-ovechkin-opc-glossy-gold-og5	v1|157118325854|0	157118325854	Alex Ovechkin	2024-25	Upper Deck	O-Pee-Chee Glossy Gold Parallel	OG-5	Gold		Washington Capitals	Hockey	false	false	false	2024-25 Upper Deck Series 1 - O-Pee-Chee Glossy Alex Ovechkin #OG-5 Gold
ud-s1-connor-bedard-population-count-1000-pc3	v1|377195855274|0	377195855274	Connor Bedard	2024-25	Upper Deck	Population Count 1000	PC-3	Population Count 1000		Chicago Blackhawks	Hockey	false	false	false	2024-25 Upper Deck Series 1 Hockey Connor Bedard #PC-3 Population Count 1000
ud-s1-caufield-bedard-canvas-c90	v1|318423734948|0	318423734948	Cole Caufield/Connor Bedard	2024-25	Upper Deck	UD Canvas	C-90	Canvas			Hockey	false	false	false	2024-25 Upper Deck Series 1 Cole Caufield/Connor Bedard #C-90 Checklist Canvas
wnba-sonia-citron-base-122	v1|137178873155|0	137178873155	Sonia Citron	2025	Panini	Base	122	Base		Washington Mystics	Basketball	true	false	false	2025 Panini Prizm WNBA - Sonia Citron #122 (RC)
bowman-jhonny-severino-auto-cpa-js	v1|397307669510|0	397307669510	Jhonny Severino	2025	Topps	Prospect Autographs	CPA-JS	Base		Pittsburgh Pirates	Baseball	true	true	false	2025 Bowman Chrome - Prospect Autograph Jhonny Severino #CPA-JS
bowman-braden-montgomery-refractor-auto-499	v1|177334003533|0	177334003533	Braden Montgomery	2025	Topps	Chrome Prospect Autographs	CPA-BM	Refractor	499	Chicago White Sox	Baseball	true	true	false	2025 Bowman - Chrome Prospect Autographs Braden Montgomery #CPA-BM /499 (AU, RC)
phoenix-mykel-williams-rookie-phenom-jersey-699	v1|287046319559|0	287046319559	Mykel Williams	2025	Panini	Rookie Phenom Jersey	PJY-MWS	Base	699	San Francisco 49ers	Football	true	false	true	2025 Panini Phoenix - Rookie Phenom Jersey Mykel Williams #PJY-MWS /699 (MEM, RC)
